,id,Neighb,Restaurant,Hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,0.0,0.0,0.0,0.0,0.0,0.0,37.0,62.0
1,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,1.0,0.0,0.0,0.0,0.0,0.0,77.0,55.0
2,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,2.0,0.0,0.0,0.0,0.0,0.0,25.0,62.0
3,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,10.0,7.0,12.0,5.0,15.0,15.0,7.0,5.0
11,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,11.0,25.0,35.0,17.0,27.0,30.0,15.0,17.0
12,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,12.0,50.0,60.0,32.0,35.0,50.0,25.0,37.0
13,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,13.0,65.0,65.0,40.0,32.0,70.0,37.0,57.0
14,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,14.0,62.0,47.0,37.0,22.0,77.0,50.0,65.0
15,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,15.0,47.0,40.0,30.0,27.0,72.0,57.0,57.0
16,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,16.0,40.0,60.0,32.0,50.0,57.0,57.0,40.0
17,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,17.0,47.0,80.0,45.0,77.0,45.0,55.0,30.0
18,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,18.0,60.0,72.0,57.0,85.0,42.0,52.0,35.0
19,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,19.0,62.0,57.0,65.0,72.0,52.0,60.0,47.0
20,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,20.0,47.0,70.0,62.0,65.0,67.0,75.0,55.0
21,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,21.0,27.0,82.0,50.0,62.0,75.0,92.0,47.0
22,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,22.0,25.0,50.0,32.0,50.0,67.0,100.0,27.0
23,ChIJx8KiHcx9j4AR7KYfgcUQk1g,Mission,Mr. Pizza Man,23.0,52.0,15.0,17.0,27.0,45.0,87.0,10.0
